labels,data
2021-10-07,0.12
2022-02-15,0.12
2022-02-25,0.12
2021-11-16,0.12
2021-11-18,0.12
2022-03-08,0.12
2021-10-22,0.12
2021-01-14,0.12
2022-03-22,0.12
2022-03-12,0.12
2022-01-13,0.12
2022-03-29,0.12
2021-12-27,0.12
2022-03-07,0.12
2022-03-18,0.12
2022-02-16,0.12
2022-01-11,0.12
2021-07-13,0.12
2021-09-08,0.12
2022-02-23,0.12
2021-12-14,0.12
2022-01-19,0.12
2022-03-13,0.12
2022-01-27,0.12
2022-01-06,0.12
2021-08-11,0.12
2022-03-05,0.12
2022-03-09,0.12
2022-03-04,0.12
2022-02-09,0.12
2021-11-26,0.12
2022-01-26,0.12
2021-11-28,0.12
2021-10-26,0.12
2021-09-21,0.12
2022-03-23,0.12
2022-01-07,0.12
2022-01-29,0.12
2022-01-17,0.12
2022-04-08,0.12
2021-07-15,0.12
2022-02-21,0.12
2022-02-10,0.12
2021-12-29,0.13
2021-11-10,0.13
2022-03-23,0.13
2021-08-30,0.13
2021-12-22,0.13
2021-11-24,0.13
2022-02-11,0.13
2022-03-08,0.13
2021-04-22,0.13
2022-03-11,0.13
2021-12-09,0.13
2022-03-21,0.14
2022-03-10,0.14
2022-01-14,0.14
2022-02-10,0.14
2022-03-03,0.15
2022-01-18,0.15
2021-10-12,0.15
2021-10-25,0.15
2022-02-10,0.15
2022-01-20,0.15
2022-01-21,0.15
2022-03-31,0.16
2022-01-11,0.16
2022-03-23,0.16
2022-03-16,0.16
2022-03-09,0.16
2022-04-01,0.16
2022-01-18,0.16
2021-08-10,0.17
2022-02-02,0.17
2022-02-15,0.17
2022-02-22,0.17
2021-11-09,0.17
2021-11-23,0.17
2021-07-29,0.18
2022-02-23,0.18
2022-02-08,0.18
2022-01-24,0.18
2021-10-22,0.18
2022-01-20,0.18
2022-02-14,0.18
2022-02-15,0.18
2022-03-10,0.18
2022-01-10,0.18
2022-02-17,0.18
2021-11-11,0.18
2021-06-23,0.18
2021-09-17,0.18
2022-03-01,0.18
2022-03-22,0.18
2022-01-11,0.18
2021-11-17,0.18
2022-03-18,0.18
2022-03-03,0.18
2022-03-14,0.18
2022-02-07,0.18
2022-03-21,0.18
2022-02-02,0.18
2022-03-16,0.18
2022-01-06,0.18
2022-01-13,0.18
2021-12-02,0.18
2022-03-08,0.18
2022-01-19,0.18
2022-02-19,0.18
2022-03-04,0.18
2022-04-01,0.18
2022-01-07,0.18
2022-02-28,0.18
2022-02-16,0.18
2022-04-04,0.18
2021-12-29,0.18
2022-02-07,0.19
2021-07-30,0.19
2022-03-10,0.19
2022-03-18,0.19
2022-01-23,0.19
2022-01-19,0.19
2022-02-18,0.19
2022-02-20,0.20
2022-03-24,0.20
2022-03-16,0.20
2022-03-10,0.20
2022-03-04,0.20
2021-12-29,0.20
2022-03-22,0.20
2021-10-11,0.20
2022-01-21,0.20
2022-03-14,0.21
2022-01-19,0.21
2021-11-16,0.21
2022-01-15,0.21
2022-03-03,0.21
2022-01-18,0.22
2022-01-13,0.22
2022-01-08,0.22
2021-11-15,0.23
